Provinsi;2024;2023;2022;2021;2020
ACEH;10.03;1.8;1.8;0;9.07
SUMATERA UTARA;8015.13;9234.4;8953.3;8745.02;3566.16
SUMATERA BARAT;676.21;965.7;822.1;827.58;1024.55
RIAU;41.05;29.2;28.6;36.73;45.37
JAMBI;0;3.9;3.9;3.94;6.26
SUMATERA SELATAN;0;7.5;21.8;0;31.13
BENGKULU;0;23.1;23.1;192.65;272.53
LAMPUNG;3845.84;3778.8;3613.8;1751.04;2134.84
KEP. BANGKA BELITUNG;0;0;0;149.49;418.58
KEP. RIAU;0;0;0;0;12.55
DKI JAKARTA;2151.57;2874.9;2724.9;3163.36;4292.68
JAWA BARAT;246619.97;268467.3;264834.1;290472.23;281198.94
JAWA TENGAH;72907.76;89545.9;92176.2;104421.95;102707.88
DI YOGYAKARTA;3774.41;3613.1;3607.5;3867.2;5385.6
JAWA TIMUR;468712.04;456343.4;445213;530426.49;542860.27
BANTEN;73.41;72.8;68.2;75.32;121.22
BALI;0;0;0;0;0
NUSA TENGGARA BARAT;0;9.8;9.8;0;0
NUSA TENGGARA TIMUR;40.62;41.8;36.7;39.22;46.87
KALIMANTAN BARAT;0;0;0;0;115.78
KALIMANTAN TENGAH;0;0;0;0;0
KALIMANTAN SELATAN;55.58;105;130.4;111.77;111.64
KALIMANTAN TIMUR;76.15;76.2;75;83.88;122.21
KALIMANTAN UTARA;0;0;0;0;6.27
SULAWESI UTARA;0;0;0;0;13.67
SULAWESI TENGAH;0;0;0;0;0
SULAWESI SELATAN;1303.96;1961;1878;1942.4;2302.11
SULAWESI TENGGARA;49.11;67.7;50.8;77.9;106.63
GORONTALO;0;0;0;0;0
SULAWESI BARAT;0;0;0;0;0
MALUKU;0;0;0;0;0
MALUKU UTARA;0;0;0;0;0
PAPUA BARAT;0;0;0;0;0
PAPUA BARAT DAYA;0;0;0;0;0
PAPUA;0;0;0;0;0
PAPUA SELATAN;0;0;0;0;0
PAPUA TENGAH;0;0;0;0;0
PAPUA PEGUNUNGAN;0;0;0;0;0
INDONESIA;808352.84;837223.2;824273.2;946388.17;946912.81
